station address,geographic coordinates
Via Giuseppe Mazzini, POINT(45.6095678 10.2003405)
Via dei Mille, POINT(45.6489697 9.9444428)
Via Marconi, POINT(45.5873778 9.9397261)
Via Risorgimento, POINT(45.6599591 9.9558471)
Via Camillo Benso Conte di Cavour, POINT(45.6542894 9.949834)
Via Tengattini, POINT(45.6542008 9.9600761)
Via del Fontanone, POINT(45.6268591 10.5791869)
Corso Giuseppe Zanardelli, POINT(45.6261811 10.582671)
Via Podini Mario, POINT(45.6259653 10.5839081)
Via Paolo VI, POINT(45.5541175 10.1088782)
Via Padana Superiore, POINT(45.5539934 10.0931831)
Via Fratelli Kennedy, POINT(45.511792 10.3271328)
Via Alcide De Gasperi, POINT(45.5144412 10.31673)
Via Tommaso Alberti, POINT(45.5125452 10.3181064)
Via Brescia, POINT(45.5112235 10.3222043)
Via Bremola, POINT(45.6463813 9.9384528)
Via Urini, POINT(45.6387682 9.9229312)
Via Molinara, POINT(45.6203307 9.9237744)
Via Chiesa, POINT(45.941627 10.2353308)
Via Marconi, POINT(46.1793453 10.3350956)
Via Gennaro Sora, POINT(46.1697583 10.3169261)
Via Guglielmo Marconi, POINT(46.1723469 10.3400261)
Via C. Tassara, POINT(45.9589 10.3065)
Via Leonardo da Vinci, POINT(45.6323436 9.9893995)
Via Giuseppe Verdi, POINT(45.5992369 9.9686815)
Via Vittorio Veneto, POINT(45.5623672 9.9777048)
Via Antonio Gramsci, POINT(45.5588085 9.9711694)
Via Sandrini, POINT(45.3170022 10.0036412)
Via Scalone, POINT(45.315156 10.008304)
Via Santa Maria, POINT(45.3148165 9.9953416)
Via Alessandro Manzoni, POINT(45.3120052 10.0042189)
Via Dante, POINT(45.3478856 10.3421176)
Via Tre Innocenti, POINT(45.4063181 10.3966911)
Viale Guglielmo Marconi, POINT(45.41317 10.39799)
Via Girolamo Arrighini, POINT(45.4041529 10.3887394)
Via Trieste, POINT(45.4123007 10.3920338)
Via Marcolini Ottorino, POINT(45.5891625 10.1618908)
Via caporalino, POINT(45.58358 10.15717)
Viale Italia, POINT(45.5808411 10.1576148)
Via Sale, POINT(45.5779994 10.1460913)
Via Giancarlo Peracchia, POINT(45.5916999 10.1553538)
Via Schiave, POINT(45.5824387 10.4481654)
Via Posserlè, POINT(45.5125904 10.5139282)
Via Italo Barbieri, POINT(45.5047685 10.5105777)
Via Giuseppe Verdi, POINT(45.5660822 10.5477673)
Via Serenissima, POINT(45.5119417 10.2791812)
Via Buffalora, POINT(45.4981186 10.2771059)
Via Giorgio La Pira, POINT(45.586983 10.5481041)
Via Benaco, POINT(45.5950151 10.5603155)
Via Porto San Felice, POINT(45.5804955 10.5580772)
Via Arnaldo da Brescia, POINT(45.4021184 9.9243828)
Via Baracca, POINT(45.4001582 9.9273678)
Via Guglielmo Marconi, POINT(45.46405 9.9126)
Piazza Europa, POINT(45.4716483 9.9521951)
Via Calamè, POINT(45.9465463 10.1991101)
Via Fonte Pizzoli, POINT(45.9468595 10.205589)
Via della Resistenza, POINT(45.4717 10.2949274)
Via Carlo Alberto dalla Chiesa, POINT(45.4763074 10.3076219)
Via Brescia, POINT(45.4855331 10.281394)
Via Lamarmora, POINT(45.5669493 9.9969746)
Piazza Giuseppe Garibaldi, POINT(45.585752 9.944081)
Via 25 Aprile, POINT(45.5589068 10.0305871)
Via Dante, POINT(45.6140157 10.0738033)
Via Sedom, POINT(45.9423059 10.236688)
Via San Francesco D'Assisi, POINT(45.5850919 10.2150006)
Via Quaglieni, POINT(45.5847218 10.216287)
Via Nazionale, POINT(46.2447043 10.4448063)
Via XI Febbraio, POINT(45.4170866 10.0752729)
Via Borgo Belvedere, POINT(45.4214793 10.0828804)
Via Leno, POINT(45.4277139 10.1886418)
Via Brescia, POINT(45.4353694 10.1894284)
Via Trento, POINT(45.4268599 10.1888164)
Via Sandro Pertini, POINT(45.5165063 9.9806643)
Via Giuseppe Zanardelli, POINT(45.7087813 10.216983)
Via Martiri dell'Indipendenza, POINT(45.7137525 10.2213005)
Via Sebina, POINT(45.6346351 10.0440664)
Via Alessandro Manzoni, POINT(45.6326348 10.1276886)
Via Zanardelli, POINT(45.6031376 10.4576703)
Via 10 Giornate, POINT(45.5958243 10.5529943)
Via della Maggia, POINT(45.5111786 10.2428465)
Via Silvio Pellico, POINT(45.8918935 10.1716617)
